Epoch:,0,Training Loss:,8.55240644627342, Learning rate:,0.0035, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,100,Training Loss:,2152.9901965383706, Learning rate:,0.0035, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,200,Training Loss:,11734.8718881431, Learning rate:,0.0035, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,300,Training Loss:,2014.5674786367115, Learning rate:,0.0035, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,400,Training Loss:,1975.846950011701, Learning rate:,0.0035, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,500,Training Loss:,6355.783189629465, Learning rate:,0.0035, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,600,Training Loss:,10940.84325346882, Learning rate:,0.0035, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,700,Training Loss:,10919.352013707354, Learning rate:,0.0035, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,800,Training Loss:,10844.037547123933, Learning rate:,0.0035, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,900,Training Loss:,10766.253257261369, Learning rate:,0.0035, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,1000,Training Loss:,445840529664540.5, Learning rate:,0.003325, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,1100,Training Loss:,4806881.733712192, Learning rate:,0.003325, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,1200,Training Loss:,14750.860653911372, Learning rate:,0.003325, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,1300,Training Loss:,1651046.6459219395, Learning rate:,0.003325, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
