Epoch:,0,Training Loss:,8.599831216030614, Learning rate:,0.0033, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,100,Training Loss:,8.611628325418224, Learning rate:,9.9e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,200,Training Loss:,8.611610215527937, Learning rate:,9.9e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,300,Training Loss:,8.611606824427977, Learning rate:,9.9e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,400,Training Loss:,8.611603434696026, Learning rate:,9.9e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,500,Training Loss:,8.611600045889569, Learning rate:,9.9e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,600,Training Loss:,8.611596658008173, Learning rate:,9.9e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,700,Training Loss:,8.611593271051404, Learning rate:,9.9e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,800,Training Loss:,8.61158988501885, Learning rate:,9.9e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,900,Training Loss:,8.611586499910079, Learning rate:,9.9e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,1000,Training Loss:,8.61158311572467, Learning rate:,9.405e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
Epoch:,1100,Training Loss:,8.611579901603495, Learning rate:,9.405e-05, Number of training points (boundary):,3498, Number of training points (interior):,24998, VRAM allocated:,93068288, VRAM reserved:,29100081152
