0,Training Loss:,0.00018217999604530632,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
100,Training Loss:,2.3468290237360634e-05,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
200,Training Loss:,1.4114306168266921e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
300,Training Loss:,1.375214992549445e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
400,Training Loss:,1.355211225018138e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
500,Training Loss:,1.811176844057627e-05,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
600,Training Loss:,1.3399862837104592e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
700,Training Loss:,1.3266095493236207e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
800,Training Loss:,1.48840240399295e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
900,Training Loss:,1.3186388514441205e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
1000,Training Loss:,1.3148436437404598e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
1100,Training Loss:,1.3127145166436094e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
1200,Training Loss:,1.311162804995547e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
1300,Training Loss:,1.3099097486701794e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
1400,Training Loss:,1.3088438208797015e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
1500,Training Loss:,1.3079102245683316e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
1600,Training Loss:,1.3070770137346699e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
1700,Training Loss:,1.306322246819036e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
1800,Training Loss:,1.3056294392299606e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
1900,Training Loss:,1.3049854032942676e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
2000,Training Loss:,1.3043794524492114e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
2100,Training Loss:,1.3038028328082873e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
2200,Training Loss:,1.3032476999796927e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
2300,Training Loss:,1.3027075738136773e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
2400,Training Loss:,1.3021765425946796e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
2500,Training Loss:,1.3016490356676513e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
2600,Training Loss:,1.3011206192459213e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
2700,Training Loss:,1.3005862911086297e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
2800,Training Loss:,1.3000412764085922e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
2900,Training Loss:,1.2994817097933264e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
3000,Training Loss:,1.2989025890419725e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
3100,Training Loss:,1.2982989119336708e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
3200,Training Loss:,1.297665448873886e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
3300,Training Loss:,1.2969964018338942e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
3400,Training Loss:,1.296285518037621e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
3500,Training Loss:,1.34141532726062e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
3600,Training Loss:,1.2993841664865613e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
3700,Training Loss:,1.2977852748008445e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
3800,Training Loss:,1.296580762755184e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
3900,Training Loss:,1.2954867543157889e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
4000,Training Loss:,1.2944011587023851e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
4100,Training Loss:,1.2932714525959454e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
4200,Training Loss:,1.2920635299451533e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
4300,Training Loss:,1.2907496511616046e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
4400,Training Loss:,1.3034537005296443e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
4500,Training Loss:,1.295873857998231e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
4600,Training Loss:,1.2929584727316978e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
4700,Training Loss:,1.2906840538562392e-06,", Learning rate:",0.0008,", Number of training points (boundary):",4800,", Number of training points (interior):",10000,", VRAM allocated:",0,", VRAM reserved:",0
